,City,Hotel,Price,Star Rating,Review
234,Plymouth, New Continental,72.12,3,82.0
235,Plymouth, The Caraneal Hotel - Guest house,55.36,3,88.0
236,Plymouth, Copthorne Hotel Plymouth,67.08,4,78.0
237,Plymouth, Best Western Duke Of Cornwall,68.45,3,81.0
238,Plymouth, Barbican Reach Bed & Breakfast - B&B,70.85,3,93.0
239,Plymouth, Number One,73.85,3,91.0
240,Penzance, Penzance,95.68,3,88.0
241,Penzance, Dunedin,75.43,4,94.0
242,Penzance, Sea Waves B&B,50.2,3,67.0
243,Penzance, Torwood House,62.38,4,90.0
244,Penzance, Higher Faugan Parc,99.4,4,89.0
245,Penzance, Beachfield Hotel,98.17,3,85.0
246,Penzance, Queens,90.35,3,74.0
247,Penzance, Penrose Guest House,59.85,4,89.0
248,Penzance, Whiteways Guest House,56.33,2,63.0
249,Penzance, The Old Vicarage,65.49,4,92.0
250,John O'Groats, Seaview Hotel,85.06,3,89.0
251,John O'Groats, Ackergill Tower,97.2,5,82.0
252,John O'Groats, Park Hotel,94.47,3,68.0
253,John O'Groats, Royal,60.76,3,74.0
254,John O'Groats, A Castle View,70.74,4,79.0
255,John O'Groats, Northern Sands Hotel,79.06,3,74.0
256,John O'Groats, Norseman,83.12,3,78.0
257,John O'Groats, The Weigh Inn,60.49,3,88.0
258,John O'Groats, The Castletown,60.94,2,81.0
259,John O'Groats, Mackays Hotel,143.0,3,77.0
260,Pitlochry, Fisher's Hotel,84.04,3,81.0
261,Pitlochry, Atholl Palace,168.17,4,81.0
262,Pitlochry, Crerar Scotland's Hotel & Spa,80.63,3,74.0
263,Pitlochry, Craigvrack,70.34,3,84.0
264,Pitlochry, Fonab Castle,267.68,5,94.0
265,Pitlochry, Pine Trees,114.54,4,88.0
266,Pitlochry, Acarsaid,94.66,3,90.0
267,Pitlochry, Rosemount Hotel,103.59,3,81.0
268,Pitlochry, Cuil-An-Daraich Guest House,59.04,3,82.0
269,Pitlochry, The Moulin Hotel,73.64,3,78.0
270,Lochalsh, Benmiller Inn & Spa,88.33,3,0.0
271,Lochalsh, Howard Johnson Kincardine,54.98,3,0.0
272,Lochalsh, Maple Leaf Inn,58.94,2,0.0
273,Lochalsh, Colborne Bed and Breakfast,54.15,3,0.0
274,Lochalsh, Lakeview Motel,37.44,2,0.0
275,Lochalsh, Super 8 Port Elgin,95.76,2,0.0
276,Lochalsh, Port Albert Cottages,44.96,3,0.0
277,Lochalsh, Samuel's Boutique Hotel,62.51,2,0.0
278,Lochalsh, Super 8 Motel - Port Elgin,84.88,2,0.0
279,Lochalsh, Three Gables B&B,64.62,3,0.0
280,Lochalsh, Benmiller Inn & Spa,84.51,3,0.0
281,Lochalsh, Holiday Inn Express & Suites Kincardine Downtown,98.31,2,0.0
282,Lochalsh, Howard Johnson Kincardine,54.87,3,0.0
283,Lochalsh, Maple Leaf Inn,58.13,2,0.0
284,Lochalsh, Colborne Bed and Breakfast,54.76,3,0.0
285,Lochalsh, Lakeview Motel,37.56,2,0.0
286,Lochalsh, Super 8 Port Elgin,95.96,2,0.0
287,Lochalsh, Port Albert Cottages,44.77,3,0.0
288,Lochalsh, Samuel's Boutique Hotel,62.31,2,0.0
289,Lochalsh, Super 8 Motel - Port Elgin,84.85,2,0.0
290,Manchester, Crowne Plaza City Centre,131.54,4,90.0
291,Manchester, Macdonald Manchester,115.03,4,82.0
292,Manchester, The Light Hotel,116.65,4,81.0
293,Manchester, Radisson Blu Edwardian Manchester Hotel,180.87,5,87.0
294,Manchester, Britannia Hotel Manchester City Centre,76.9,3,66.0
295,Manchester, Novotel Manchester Centre,123.51,3,82.0
296,Manchester, The Midland,169.42,4,87.0
297,Manchester, Abode,120.37,4,83.0
298,Manchester, Renaissance Manchester,139.22,4,88.0
299,Manchester, Velvet,128.37,4,89.0
300,Liverpool, Hilton Liverpool,286.2,4,84.0
301,Liverpool, Radisson Blu Liverpool,171.26,4,82.0
302,Liverpool, Adagio Liverpool City Centre,135.57,4,86.0
303,Liverpool, Britannia Adelphi,115.62,3,67.0
304,Liverpool, Novotel Liverpool Centre,210.28,4,85.0
305,Liverpool, Heywood House,164.18,4,88.0
306,Liverpool, Malmaison Liverpool,149.58,4,83.0
307,Liverpool, Premier Apartments Liverpool,135.72,4,89.0
308,Liverpool, Marriott Liverpool City Centre,235.48,4,85.0
309,Liverpool, Hampton by Hilton Liverpool City Centre,137.68,3,86.0
310,Chester, Best Western Premier Queen,126.09,4,87.0
311,Chester, ABode Chester,123.47,4,86.0
312,Chester, Crowne Plaza Chester,126.11,4,88.0
313,Chester, Macdonald New Blossoms,132.56,4,82.0
314,Chester, Doubletree Chester,138.87,4,86.0
315,Chester, The Chester Grosvenor & Grosvenor Spa,165.85,5,90.0
316,Chester, The Grosvenor Pulford,82.06,4,87.0
317,Chester, Brookside Hotel,84.67,3,83.0
318,Chester, Best Western Llyndir Hall Hotel & Spa,68.35,4,80.0
319,Chester, Brook Mollington Banastre Hotel & Spa,94.9,4,69.0
320,Windermere, Beaumont House,95.23,5,92.0
321,Windermere, The Lamplighter,90.51,4,84.0
322,Windermere, Southview Guest House & Indoor Pool,100.42,4,95.0
323,Windermere, Thornbank Guest House,80.0,4,91.0
324,Windermere, Bonny Brae Guest House,75.24,3,93.0
325,Windermere, Macdonald Old England,197.51,4,85.0
326,Windermere, Dene House,90.29,4,95.0
327,Windermere, The Burn How Garden House,160.24,3,87.0
328,Windermere, The Westbourne,135.29,4,94.0
329,Windermere, Craig Manor,96.22,3,82.0
330,Penrith, North Lakes and Spa,114.55,4,0.0
331,Penrith, Abbey House B&B,63.56,4,0.0
332,Penrith, George Hotel,90.2,3,0.0
333,Penrith, The White House Experience,100.56,4,0.0
334,Penrith, Roundthorn Country House,104.59,5,0.0
335,Penrith, Brandelhow Guest House,78.12,4,0.0
336,Penrith, Queens Head Inn,60.66,3,0.0
337,Penrith, Rampsbeck Country House Hotel,221.03,3,0.0
338,Penrith, Bank House Bed & Breakfast Penrith,86.98,4,0.0
339,Penrith, The Brantwood Hotel,65.34,4,0.0
340,Southport, Vincent,98.17,4,0.0
341,Southport, Britannia Scarisbrick,54.11,3,0.0
342,Southport, Clifton Villa,70.88,4,0.0
343,Southport, Best Western Royal Clifton,94.61,3,0.0
344,Southport, Britannia Prince of Wales,69.79,3,0.0
345,Southport, The Penkelie,65.32,2,0.0
346,Southport, Cambridge House Hotel,75.42,3,0.0
347,Southport, The Stamford,70.43,4,0.0
348,Southport, Pontin's Southport Holiday Park,120.88,2,0.0
349,Southport, Crescent House Hotel - Guest House,62.02,3,0.0
350,Morecambe, Morecambe Bay Guest House,52.1,3,89.0
351,Morecambe, Westleigh,50.9,3,73.0
352,Morecambe, The Midland Hotel,118.96,4,87.0
353,Morecambe, Lancaster House,93.99,4,87.0
354,Morecambe, Thurnham Hall,65.08,4,90.0
355,Morecambe, St Winifreds,65.07,2,62.0
356,Morecambe, Royal Kings Arms Hotel,61.07,3,74.0
357,Morecambe, The Royal Hotel (Latinos),67.49,3,80.0
358,Morecambe, Penny Street Bridge,98.23,3,84.0
359,Morecambe, The Clarendon,65.74,3,97.0
360,Grasmere, Best Western Grasmere Red Lion,80.47,3,82.0
361,Grasmere, Langdale Classic & Country Club,185.38,4,89.0
362,Grasmere, Bridge House,80.4,3,85.0
363,Grasmere, Moss Grove Organic,119.85,5,86.0
364,Grasmere, Best Western Ambleside Salutation,209.69,3,91.0
365,Grasmere, Claremont House,69.51,4,94.0
366,Grasmere, Regent Hotel,114.86,3,91.0
367,Grasmere, Nanny Brow House,130.0,5,92.0
368,Grasmere, Brathay Lodge,117.22,4,87.0
369,Grasmere, The Fisherbeck,110.6,4,91.0
370,Cardiff, Novotel Cardiff Centre,121.88,4,83.0
371,Cardiff, Mercure Holland House,119.27,4,85.0
372,Cardiff, Park Plaza Cardiff,118.89,4,88.0
373,Cardiff, Radisson Blu Cardiff,104.16,4,87.0
374,Cardiff, Marriott Cardiff,117.91,4,86.0
375,Cardiff, The Angel Cardiff,76.35,3,74.0
376,Cardiff, Hilton Cardiff,148.1,4,86.0
377,Cardiff, The St David's Hotel & Spa,143.66,5,84.0
378,Cardiff, Holiday Inn Cardiff City,116.65,3,81.0
379,Cardiff, Park Inn by Radisson Cardiff North Hotel,66.13,3,80.0
380,Swansea, Dragon,77.94,4,80.0
381,Swansea, Marriott Swansea,89.24,4,80.0
382,Swansea, Ibis Swansea,60.21,3,80.0
383,Swansea, Holiday Inn Express Swansea East,66.89,3,88.0
384,Swansea, Leonardos Guest House,48.43,3,69.0
385,Swansea, The Grand Hotel Swansea,62.13,3,84.0
386,Swansea, Mercure Swansea,65.94,4,83.0
387,Swansea, De Vere Village Urban Resort Swansea,74.68,3,81.0
388,Swansea, Premier Inn Swansea City Centre,78.75,3,73.0
389,Swansea, Dolphin Hotel,67.76,3,83.0
