City,Hotel,Price,Star Rating,Review
Cardiff,Park Inn by Radisson Cardiff North Hotel,66.13,3,80.0
Swansea,Dragon,77.94,4,80.0
Swansea,Marriott Swansea,89.24,4,80.0
Swansea,Ibis Swansea,60.21,3,80.0
Swansea,Holiday Inn Express Swansea East,66.89,3,88.0
Swansea,Leonardos Guest House,48.43,3,69.0
Swansea,The Grand Hotel Swansea,62.13,3,84.0
Swansea,Mercure Swansea,65.94,4,83.0
Swansea,De Vere Village Urban Resort Swansea,74.68,3,81.0
Swansea,Premier Inn Swansea City Centre,78.75,3,73.0
Swansea,Dolphin Hotel,67.76,3,83.0
